7.0,26.0,29.0,10
29.0,60.0,1.0,2
61.0,125.0,12.0,2
110.0,186.0,143.0,16
8.0,36.0,32.0,10
146.0,230.0,129.0,2
10.0,54.0,10.0,17
95.0,191.0,141.0,16
8.0,36.0,31.0,10
75.0,139.0,1.0,8
106.0,184.0,13.0,8
172.0,220.0,78.0,4
143.0,206.0,10.0,11
2.0,85.0,3.0,12
27.0,94.0,45.0,10
87.0,160.0,93.0,13
143.0,201.0,20.0,11
6.0,161.0,8.0,12
82.0,208.0,58.0,1
47.0,135.0,19.0,11
77.0,141.0,2.0,8
95.0,188.0,135.0,16
55.0,195.0,36.0,1
125.0,192.0,11.0,11
108.0,185.0,20.0,8
116.0,205.0,155.0,16
66.0,141.0,46.0,15
151.0,206.0,64.0,3
87.0,166.0,15.0,11
81.0,151.0,3.0,8
134.0,198.0,142.0,13
147.0,204.0,16.0,11
151.0,204.0,62.0,3
2.0,180.0,5.0,12
10.0,56.0,10.0,15
2.0,5.0,4.0,14
1.0,89.0,6.0,7
14.0,55.0,12.0,15
3.0,42.0,5.0,17
29.0,115.0,31.0,6
135.0,193.0,17.0,11
66.0,158.0,15.0,11
85.0,178.0,3.0,4
3.0,176.0,3.0,12
143.0,199.0,56.0,3
139.0,187.0,102.0,15
64.0,147.0,14.0,11
125.0,202.0,6.0,8
72.0,168.0,92.0,13
214.0,237.0,149.0,4
1.0,91.0,1.0,12
7.0,26.0,30.0,20
2.0,9.0,2.0,15
4.0,152.0,4.0,12
205.0,234.0,132.0,4
1.0,155.0,9.0,14
33.0,135.0,29.0,6
110.0,182.0,13.0,11
6.0,32.0,31.0,10
25.0,141.0,54.0,13
129.0,215.0,57.0,2
134.0,201.0,12.0,11
6.0,16.0,13.0,14
35.0,150.0,27.0,6
163.0,216.0,66.0,4
138.0,199.0,55.0,3
27.0,85.0,35.0,7
26.0,79.0,16.0,15
175.0,245.0,27.0,5
4.0,8.0,7.0,28
137.0,228.0,60.0,2
65.0,182.0,80.0,13
29.0,100.0,33.0,6
21.0,49.0,45.0,14
76.0,158.0,109.0,16
2.0,2.0,2.0,28
34.0,136.0,32.0,6
35.0,146.0,25.0,6
27.0,91.0,35.0,7
25.0,76.0,19.0,15
167.0,242.0,15.0,5
155.0,209.0,63.0,6
155.0,208.0,69.0,3
97.0,188.0,139.0,32
167.0,240.0,18.0,5
10.0,51.0,10.0,17
5.0,53.0,5.0,17
91.0,164.0,101.0,13
147.0,200.0,13.0,11
81.0,146.0,2.0,8
4.0,157.0,3.0,12
93.0,179.0,27.0,2
6.0,35.0,8.0,17
89.0,161.0,31.0,2
159.0,212.0,73.0,3
70.0,169.0,1.0,4
92.0,159.0,16.0,8
131.0,213.0,14.0,5
61.0,163.0,3.0,4
26.0,55.0,2.0,4
8.0,182.0,54.0,13
147.0,231.0,131.0,1
125.0,211.0,170.0,16
23.0,78.0,38.0,10
77.0,159.0,23.0,11
7.0,62.0,9.0,17
46.0,149.0,92.0,14
12.0,184.0,15.0,12
2.0,101.0,2.0,12
13.0,51.0,30.0,14
6.0,23.0,3.0,15
4.0,47.0,4.0,34
3.0,193.0,8.0,12
119.0,195.0,19.0,4
11.0,37.0,4.0,15
2.0,95.0,9.0,7
119.0,194.0,19.0,8
13.0,51.0,16.0,7
81.0,176.0,124.0,16
8.0,48.0,9.0,17
46.0,162.0,62.0,13
0.0,211.0,6.0,12
100.0,187.0,109.0,13
94.0,182.0,4.0,4
8.0,48.0,8.0,17
2.0,3.0,2.0,14
16.0,92.0,29.0,13
7.0,32.0,6.0,17
26.0,107.0,27.0,6
2.0,101.0,8.0,7
123.0,226.0,9.0,5
5.0,66.0,6.0,17
98.0,187.0,14.0,5
12.0,22.0,22.0,14
41.0,121.0,100.0,14
72.0,206.0,46.0,1
39.0,113.0,93.0,14
10.0,30.0,32.0,10
43.0,143.0,11.0,10
34.0,97.0,20.0,15
27.0,110.0,86.0,14
16.0,186.0,20.0,12
96.0,182.0,7.0,4
17.0,49.0,14.0,15
156.0,231.0,17.0,5
135.0,213.0,70.0,2
16.0,90.0,26.0,13
3.0,200.0,10.0,12
12.0,44.0,34.0,10
148.0,209.0,46.0,4
139.0,215.0,175.0,16
10.0,58.0,11.0,17
2.0,90.0,9.0,7
81.0,175.0,2.0,4
24.0,158.0,58.0,13
121.0,197.0,7.0,11
64.0,161.0,11.0,5
14.0,56.0,20.0,7
13.0,47.0,34.0,20
160.0,210.0,70.0,3
36.0,94.0,23.0,15
89.0,182.0,102.0,13
62.0,133.0,59.0,15
138.0,231.0,64.0,2
63.0,152.0,9.0,11
131.0,193.0,12.0,11
123.0,194.0,27.0,15
45.0,125.0,105.0,14
139.0,196.0,95.0,2
3.0,86.0,11.0,7
110.0,196.0,154.0,16
108.0,188.0,148.0,16
37.0,190.0,77.0,13
3.0,183.0,3.0,12
139.0,198.0,56.0,3
123.0,190.0,44.0,3
1.0,93.0,2.0,24
143.0,207.0,40.0,4
121.0,194.0,66.0,2
44.0,131.0,55.0,26
20.0,116.0,45.0,7
8.0,42.0,32.0,10
131.0,197.0,43.0,15
117.0,190.0,7.0,16
47.0,156.0,38.0,6
17.0,46.0,14.0,15
168.0,243.0,17.0,5
135.0,208.0,19.0,8
26.0,98.0,30.0,6
81.0,176.0,4.0,4
106.0,200.0,29.0,2
11.0,70.0,11.0,17
6.0,171.0,54.0,13
19.0,106.0,29.0,6
24.0,161.0,56.0,13
143.0,222.0,15.0,5
106.0,187.0,145.0,16
29.0,118.0,69.0,14
109.0,196.0,13.0,5
115.0,204.0,159.0,16
28.0,140.0,54.0,13
7.0,38.0,6.0,17
149.0,204.0,62.0,3
149.0,204.0,59.0,3
107.0,184.0,13.0,8
2.0,116.0,3.0,12
42.0,154.0,33.0,6
119.0,229.0,20.0,5
24.0,99.0,68.0,14
5.0,161.0,5.0,12
65.0,132.0,93.0,16
18.0,58.0,36.0,14
9.0,29.0,32.0,10
2.0,14.0,1.0,30
88.0,179.0,3.0,4
10.0,34.0,31.0,10
178.0,224.0,87.0,4
119.0,217.0,102.0,1
92.0,187.0,134.0,16
20.0,76.0,26.0,7
36.0,123.0,32.0,6
254.0,254.0,253.0,7
5.0,20.0,5.0,15
124.0,194.0,20.0,8
144.0,230.0,127.0,17
12.0,26.0,25.0,14
149.0,211.0,48.0,4
5.0,166.0,7.0,12
105.0,183.0,10.0,8
34.0,103.0,32.0,12
101.0,137.0,75.0,2
104.0,226.0,12.0,5
136.0,205.0,18.0,8
119.0,205.0,163.0,16
58.0,132.0,112.0,14
136.0,196.0,52.0,3
113.0,191.0,17.0,8
109.0,176.0,13.0,11
186.0,226.0,101.0,4
7.0,142.0,6.0,12
75.0,169.0,12.0,5
62.0,162.0,84.0,13
94.0,165.0,128.0,16
24.0,93.0,30.0,6
27.0,116.0,47.0,7
92.0,164.0,37.0,2
1.0,112.0,1.0,12
104.0,204.0,151.0,16
140.0,207.0,14.0,8
16.0,49.0,47.0,14
24.0,103.0,12.0,17
153.0,207.0,65.0,3
6.0,25.0,29.0,10
1.0,117.0,2.0,12
126.0,192.0,10.0,11
132.0,202.0,27.0,4
88.0,171.0,7.0,15
10.0,33.0,32.0,10
64.0,189.0,83.0,13
157.0,211.0,71.0,3
5.0,75.0,5.0,22
157.0,210.0,70.0,3
157.0,210.0,71.0,3
80.0,142.0,2.0,16
19.0,61.0,22.0,6
37.0,115.0,55.0,7
126.0,188.0,8.0,11
27.0,122.0,28.0,6
157.0,209.0,70.0,3
111.0,190.0,13.0,8
15.0,81.0,38.0,10
17.0,106.0,31.0,7
20.0,65.0,25.0,7
81.0,188.0,94.0,13
203.0,232.0,127.0,4
102.0,204.0,156.0,16
12.0,48.0,34.0,10
128.0,192.0,12.0,11
111.0,189.0,12.0,8
33.0,99.0,33.0,6
146.0,202.0,61.0,3
35.0,74.0,2.0,2
10.0,44.0,33.0,10
146.0,202.0,59.0,3
146.0,203.0,43.0,8
38.0,81.0,8.0,2
82.0,170.0,120.0,16
17.0,64.0,19.0,15
11.0,53.0,11.0,17
120.0,196.0,56.0,2
72.0,140.0,16.0,11
33.0,120.0,53.0,7
128.0,223.0,114.0,1
22.0,101.0,42.0,7
5.0,46.0,7.0,17
150.0,204.0,63.0,3
129.0,205.0,11.0,8
97.0,173.0,16.0,11
32.0,117.0,26.0,6
9.0,36.0,10.0,17
154.0,212.0,52.0,4
11.0,56.0,10.0,17
105.0,222.0,12.0,5
137.0,218.0,179.0,16
6.0,67.0,7.0,17
50.0,128.0,68.0,7
33.0,127.0,28.0,6
1.0,0.0,0.0,14
142.0,199.0,55.0,3
166.0,244.0,99.0,2
3.0,142.0,4.0,12
89.0,159.0,4.0,8
91.0,165.0,6.0,8
116.0,188.0,42.0,3
52.0,151.0,11.0,5
16.0,61.0,23.0,7
68.0,128.0,22.0,2
107.0,208.0,162.0,16
34.0,129.0,32.0,6
10.0,92.0,23.0,13
11.0,26.0,21.0,14
7.0,47.0,7.0,17
2.0,8.0,2.0,15
9.0,36.0,33.0,10
41.0,87.0,6.0,2
20.0,83.0,11.0,15
39.0,151.0,33.0,6
128.0,207.0,167.0,16
8.0,118.0,10.0,12
103.0,188.0,10.0,4
32.0,110.0,34.0,6
162.0,214.0,79.0,3
4.0,28.0,29.0,10
1.0,124.0,8.0,7
105.0,186.0,42.0,2
4.0,121.0,5.0,12
153.0,236.0,16.0,5
9.0,66.0,14.0,17
174.0,245.0,18.0,10
137.0,207.0,8.0,11
103.0,186.0,8.0,4
32.0,109.0,28.0,6
129.0,176.0,90.0,2
4.0,7.0,5.0,14
31.0,204.0,37.0,12
41.0,85.0,4.0,2
5.0,82.0,23.0,13
8.0,27.0,31.0,20
140.0,228.0,124.0,1
8.0,27.0,30.0,10
86.0,178.0,14.0,5
12.0,58.0,36.0,14
129.0,193.0,50.0,3
80.0,156.0,109.0,16
166.0,241.0,16.0,5
166.0,240.0,18.0,5
13.0,140.0,32.0,7
13.0,71.0,11.0,17
84.0,170.0,120.0,16
122.0,203.0,18.0,5
120.0,195.0,15.0,8
65.0,160.0,74.0,13
45.0,100.0,34.0,15
19.0,73.0,42.0,10
105.0,187.0,117.0,13
40.0,84.0,7.0,2
17.0,62.0,12.0,17
7.0,43.0,9.0,17
54.0,150.0,12.0,11
78.0,161.0,5.0,15
204.0,232.0,208.0,7
36.0,130.0,28.0,6
41.0,89.0,4.0,2
14.0,80.0,52.0,14
101.0,184.0,8.0,4
36.0,129.0,27.0,6
170.0,241.0,22.0,5
1.0,32.0,1.0,15
0.0,128.0,0.0,234
18.0,130.0,44.0,7
